LatS,LatE,LongS,LongE,SegSize,SegProp,CumuStart,CumuEnd
39.12421111,39.1324718,-123.7180349,-123.7197674,0.930623848,0.752877,0,0.930623848
39.1324718,39.13894413,-123.7197674,-123.7278323,1.000897863,0,0.930623848,1.931521711
39.13894413,39.14631518,-123.7278323,-123.7345707,1.004727153,0.224226011,1.931521711,2.936248864
39.14631518,39.15529267,-123.7345707,-123.7358052,1.003911968,0.501009868,2.936248864,3.940160832
39.15529267,39.16377645,-123.7358052,-123.7397876,1.003900679,0.356218464,3.940160832,4.944061511
39.16377645,39.17110177,-123.7397876,-123.7465968,1.004024204,0.093751299,4.944061511,5.948085716
39.17110177,39.17868943,-123.7465968,-123.7528296,1.000250735,0.197209889,5.948085716,6.94833645
39.17868943,39.18700323,-123.7528296,-123.7575811,1.01110512,1,6.94833645,7.95944157
39.18700323,39.19367974,-123.7575811,-123.7658099,1.026682134,1,7.95944157,8.986123704
39.19367974,39.20211537,-123.7658099,-123.7698975,1.001953644,0.216041881,8.986123704,9.988077348
39.20211537,39.21046939,-123.7698975,-123.774754,1.018822194,0.193979924,9.988077348,11.00689954
39.21046939,39.21913557,-123.774754,-123.7716171,1.000814414,0.418804116,11.00689954,12.00771396
39.21913557,39.22795889,-123.7716171,-123.7693309,1.00067918,0.3241877,12.00771396,13.00839314
39.22795889,39.2322768,-123.7693309,-123.7795209,1.000437567,0.176193854,13.00839314,14.0088307
39.2322768,39.24093621,-123.7795209,-123.7761619,1.005402152,0,14.0088307,15.01423286
39.24093621,39.2489588,-123.7761619,-123.7814551,1.00178323,0,15.01423286,16.01601609
39.2489588,39.2580584,-123.7814551,-123.7831032,1.02173246,0,16.01601609,17.03774855
39.2580584,39.26601483,-123.7831032,-123.7886148,1.003931975,0,17.03774855,18.04168052
39.26601483,39.27180154,-123.7886148,-123.7975575,1.00333161,0.44247068,18.04168052,19.04501213
39.27180154,39.27945965,-123.7975575,-123.8038435,1.008908143,0,19.04501213,20.05392027
39.27945965,39.28847129,-123.8038435,-123.8032164,1.003501209,0,20.05392027,21.05742148
39.28847129,39.29595266,-123.8032164,-123.7966801,1.004213619,0.315120606,21.05742148,22.0616351
39.29595266,39.30158266,-123.7966801,-123.8057744,1.002149966,0.503866625,22.0616351,23.06378507
39.30158266,39.3101026,-123.8057744,-123.8096847,1.005340924,0,23.06378507,24.06912599
39.3101026,39.31554196,-123.8096847,-123.8003874,1.002792561,0.36118233,24.06912599,25.07191855
39.31554196,39.3233715,-123.8003874,-123.8061111,1.000191634,0.068324706,25.07191855,26.07211019
39.3233715,39.33099001,-123.8061111,-123.8124151,1.00581214,0,26.07211019,27.07792233
39.33099001,39.33940849,-123.8124151,-123.8165525,1.001442549,0,27.07792233,28.07936488
39.33940849,39.34557716,-123.8165525,-123.8250391,1.00155202,0,28.07936488,29.0809169
39.34557716,39.35419868,-123.8250391,-123.8212583,1.012293093,0,29.0809169,30.09320999
39.35419868,39.3630728,-123.8212583,-123.8191089,1.00390971,0.247045993,30.09320999,31.0971197
39.3630728,39.3715763,-123.8191089,-123.8230283,1.003782508,0.080276595,31.0971197,32.10090221
39.3715763,39.38052004,-123.8230283,-123.8217172,1.000862947,0.482667956,32.10090221,33.10176516
39.38052004,39.38919405,-123.8217172,-123.8185846,1.00137522,0.316225969,33.10176516,34.10314038
39.38919405,39.39901277,-123.8185846,-123.8192212,1.09316212,0.29369304,34.10314038,35.1963025
39.39901277,39.40800163,-123.8192212,-123.8188285,1.000084767,0,35.1963025,36.19638726
39.40800163,39.4161841,-123.8188285,-123.8136894,1.011310266,0,36.19638726,37.20769753
39.4161841,39.42432823,-123.8136894,-123.8186743,1.0017173,0.149610682,37.20769753,38.20941483
39.42432823,39.43063058,-123.8186743,-123.8103045,1.003939058,0.253469877,38.20941483,39.21335389
39.43063058,39.43626742,-123.8103045,-123.8194087,1.002111447,0.016753428,39.21335389,40.21546533
39.43626742,39.44500057,-123.8194087,-123.8166047,1.000491546,0.166220328,40.21546533,41.21595688
39.44500057,39.45365658,-123.8166047,-123.8133344,1.002625737,0.004521846,41.21595688,42.21858262
39.45365658,39.46201861,-123.8133344,-123.8090075,1.001275172,0.805347703,42.21858262,43.21985779
39.46201861,39.47165972,-123.8090075,-123.8059817,1.103061007,0.491470962,43.21985779,44.3229188
39.47165972,39.48094254,-123.8059817,-123.803644,1.051522407,0.928566924,44.3229188,45.3744412
39.48094254,39.4899018,-123.803644,-123.8025871,1.000344502,0,45.3744412,46.3747857
39.4899018,39.49543301,-123.8025871,-123.7933573,1.002769751,0.772701664,46.3747857,47.37755546
39.49543301,39.50376925,-123.7933573,-123.7877356,1.044936382,1,47.37755546,48.42249184
39.50376925,39.51262494,-123.7877356,-123.7827315,1.074220703,1,48.42249184,49.49671254
39.51262494,39.52126901,-123.7827315,-123.778832,1.017719325,1,49.49671254,50.51443186
39.52126901,39.53316826,-123.778832,-123.7737377,1.393409976,1,50.51443186,51.90784184
39.53316826,39.54209084,-123.7737377,-123.7707757,1.024144114,1,51.90784184,52.93198595
39.54209084,39.55176854,-123.7707757,-123.768472,1.094090401,1,52.93198595,54.02607635
39.55176854,39.56351736,-123.768472,-123.7675105,1.3090066,0.733252342,54.02607635,55.33508295
39.56351736,39.57151963,-123.7675105,-123.77289,1.002197872,0.593397636,55.33508295,56.33728083
39.57151963,39.57978242,-123.77289,-123.7775004,1.000147281,0,56.33728083,57.33742811
39.57978242,39.58830705,-123.7775004,-123.7812186,1.000016337,0,57.33742811,58.33744444
39.58830705,39.59615097,-123.7812186,-123.7869451,1.000760263,0,58.33744444,59.33820471
39.59615097,39.60514874,-123.7869451,-123.7870201,1.000526615,0,59.33820471,60.33873132
39.60514874,39.61359292,-123.7870201,-123.7829488,1.001632839,0.735757376,60.33873132,61.34036416
39.61359292,39.6226321,-123.7829488,-123.7828061,1.005184454,0.957433417,61.34036416,62.34554862
39.6226321,39.63144142,-123.7828061,-123.7851554,1.000001871,0.619755347,62.34554862,63.34555049
39.63144142,39.64091171,-123.7851554,-123.7854569,1.053364635,0.621038016,63.34555049,64.39891512
39.64091171,39.64998249,-123.7854569,-123.7852866,1.008731024,0.89838271,64.39891512,65.40764615
39.64998249,39.65983382,-123.7852866,-123.7860822,1.097532541,1,65.40764615,66.50517869
39.65983382,39.66768655,-123.7860822,-123.7921903,1.017751759,1,66.50517869,67.52293044
39.66768655,39.67699913,-123.7921903,-123.7914979,1.03720531,1,67.52293044,68.56013575
39.67699913,39.68603906,-123.7914979,-123.7932032,1.015732186,1,68.56013575,69.57586794
39.68603906,39.69410513,-123.7932032,-123.798666,1.011399951,0.718878117,69.57586794,70.58726789
39.69410513,39.70208076,-123.798666,-123.8040821,1.000612214,0.233786991,70.58726789,71.58788011
39.70208076,39.71048356,-123.8040821,-123.8082734,1.000779193,0.943268585,71.58788011,72.5886593
39.71048356,39.71536464,-123.8082734,-123.8185725,1.034735029,1,72.5886593,73.62339433
39.71536464,39.72124406,-123.8185725,-123.8278268,1.026602374,1,73.62339433,74.6499967
39.72124406,39.73036306,-123.8278268,-123.8316547,1.065522519,0.163588914,74.6499967,75.71551922
39.73036306,39.73937148,-123.8316547,-123.8314494,1.001844414,0.410989842,75.71551922,76.71736364
39.73937148,39.74809937,-123.8314494,-123.8342815,1.000249829,0.741420266,76.71736364,77.71761347
39.74809937,39.75678379,-123.8342815,-123.8390002,1.046533562,0.310661154,77.71761347,78.76414703
39.75678379,39.76571381,-123.8390002,-123.8372917,1.00365519,0.613719217,78.76414703,79.76780222
39.76571381,39.77473917,-123.8372917,-123.8371528,1.003644571,0.975200641,79.76780222,80.77144679
39.77473917,39.78490035,-123.8371528,-123.8379133,1.131738449,1,80.77144679,81.90318524
39.78490035,39.79460644,-123.8379133,-123.8392205,1.085032438,0.92844351,81.90318524,82.98821768
39.79460644,39.80468143,-123.8392205,-123.8432468,1.171903219,0.868637654,82.98821768,84.16012089
39.80468143,39.81351969,-123.8432468,-123.8455756,1.002699185,0.787633327,84.16012089,85.16282008
39.81351969,39.82286112,-123.8455756,-123.8478843,1.057269076,0.512039035,85.16282008,86.22008916
39.82286112,39.83373976,-123.8478843,-123.8529944,1.285952542,1,86.22008916,87.5060417
39.83373976,39.83806203,-123.8529944,-123.8640202,1.057019039,1,87.5060417,88.56306074
39.83806203,39.84289926,-123.8640202,-123.8745096,1.04468087,1,88.56306074,89.60774161
39.84289926,39.84838962,-123.8745096,-123.8857698,1.138782925,0.881654677,89.60774161,90.74652453
39.84838962,39.85478627,-123.8857698,-123.8940379,1.002038325,0.506666344,90.74652453,91.74856286
39.85478627,39.85954129,-123.8940379,-123.9042097,1.016563182,0.528867987,91.74856286,92.76512604
39.85954129,39.86750844,-123.9042097,-123.9097135,1.002744782,0.5918332,92.76512604,93.76787082
39.86750844,39.87547451,-123.9097135,-123.9152134,1.002460828,0,93.76787082,94.77033165
39.87547451,39.88425191,-123.9152134,-123.9180238,1.005031155,0.414028123,94.77033165,95.7753628
39.88425191,39.89265098,-123.9180238,-123.9222556,1.001295393,0.487377948,95.7753628,96.7766582
39.89265098,39.90114089,-123.9222556,-123.9261265,1.000122616,1,96.7766582,97.77678081
39.90114089,39.90967276,-123.9261265,-123.9299156,1.002244059,1,97.77678081,98.77902487
39.90967276,39.91422953,-123.9299156,-123.940058,1.002521638,0.834338413,98.77902487,99.78154651
39.91422953,39.91978027,-123.940058,-123.9496084,1.021936527,0,99.78154651,100.803483
39.91978027,39.92724005,-123.9496084,-123.9577188,1.079994437,0.306650744,100.803483,101.8834775
39.92724005,39.93629581,-123.9577188,-123.9615236,1.057925367,1,101.8834775,102.9414028
39.93629581,39.94458455,-123.9615236,-123.9680518,1.076671014,0.368034722,102.9414028,104.0180739
39.94458455,39.95295218,-123.9680518,-123.97452,1.081540066,0,104.0180739,105.0996139
39.95295218,39.96162145,-123.97452,-123.9791274,1.040901953,0,105.0996139,106.1405159
39.96162145,39.96893317,-123.9791274,-123.9884826,1.138711072,0,106.1405159,107.2792269
39.96893317,39.97487417,-123.9884826,-123.9973123,1.001273331,0,107.2792269,108.2805003
39.97487417,39.98242534,-123.9973123,-124.0037137,1.001260486,0.396462049,108.2805003,109.2817608
39.98242534,39.98926716,-124.0037137,-124.0119651,1.035854773,1,109.2817608,110.3176155
39.98926716,39.99762757,-124.0119651,-124.0189993,1.106030268,1,110.3176155,111.4236458
39.99762757,40.0044622,-124.0189993,-124.0274039,1.044064812,1,111.4236458,112.4677106
40.0044622,40.01334654,-124.0274039,-124.0358794,1.223518697,1,112.4677106,113.6912293
40.01334654,40.01988393,-124.0358794,-124.046257,1.144308711,1,113.6912293,114.835538
40.01988393,40.02465709,-124.046257,-124.0563566,1.010592865,1,114.835538,115.8461309
40.02465709,40.021753,-124.0563566,-124.0675052,1.002739767,0.650429649,115.8461309,116.8488707
40.021753,40.02755975,-124.0675052,-124.0765194,1.0030187,0,116.8488707,117.8518894
40.02755975,40.03653597,-124.0765194,-124.0782406,1.008810615,0,117.8518894,118.8607
40.03653597,40.04547291,-124.0782406,-124.0799754,1.004654971,0.747640283,118.8607,119.8653549
40.04547291,40.05508678,-124.0799754,-124.079417,1.07006992,1,119.8653549,120.9354249
40.05508678,40.06724833,-124.079417,-124.0806033,1.356065629,1,120.9354249,122.2914905
40.06724833,40.07586111,-124.0806033,-124.0855667,1.046687214,1,122.2914905,123.3381777
40.07586111,40.08346894,-124.0855667,-124.0929618,1.054280657,1,123.3381777,124.3924584
40.08346894,40.09479688,-124.0929618,-124.1036247,1.552228836,1,124.3924584,125.9446872
40.09479688,40.10396655,-124.1036247,-124.1105579,1.177871862,1,125.9446872,127.1225591
40.10396655,40.10847656,-124.1105579,-124.1213001,1.042192066,1,127.1225591,128.1647511
40.10847656,40.11440848,-124.1213001,-124.1350397,1.341751397,1,128.1647511,129.5065025
40.11440848,40.11766487,-124.1350397,-124.1463479,1.027510269,1,129.5065025,130.5340128
40.11766487,40.12136187,-124.1463479,-124.1574629,1.030651027,1,130.5340128,131.5646638
40.12136187,40.12420912,-124.1574629,-124.1689727,1.028577261,1,131.5646638,132.5932411
40.12420912,40.12920738,-124.1689727,-124.1798294,1.077471209,1,132.5932411,133.6707123
40.12920738,40.13446489,-124.1798294,-124.1906152,1.087466543,1,133.6707123,134.7581788
40.13446489,40.14326178,-124.1906152,-124.1979454,1.15977727,1,134.7581788,135.9179561
40.14326178,40.15102236,-124.1979454,-124.2049804,1.04986039,1,135.9179561,136.9678165
40.15102236,40.15820214,-124.2049804,-124.2129191,1.045261594,1,136.9678165,138.0130781
40.15820214,40.16613089,-124.2129191,-124.2233489,1.250125575,1,138.0130781,139.2632037
40.16613089,40.17273421,-124.2233489,-124.2318085,1.027524154,1,139.2632037,140.2907278
40.17273421,40.17986645,-124.2318085,-124.2472663,1.534171931,1,140.2907278,141.8248997
40.17986645,40.18421849,-124.2472663,-124.2577418,1.01299062,1,141.8248997,142.8378904
40.18421849,40.19224512,-124.2577418,-124.2678202,1.2367349,1,142.8378904,144.0746253
40.19224512,40.19896047,-124.2678202,-124.2776623,1.120886185,1,144.0746253,145.1955115
40.19896047,40.20351098,-124.2776623,-124.2893863,1.116897647,1,145.1955115,146.3124091
40.20351098,40.21033163,-124.2893863,-124.2976998,1.036163647,1,146.3124091,147.3485727
